Event_Id__c,Asset__r.Asset_Id__c,Fault_Code__c,Severity__c,Event_Timestamp__c,Resolution_Status__c,Resolved_Timestamp__c,RPM__c,Coolant_Temp_C__c,Hydraulic_Pressure_PSI__c,Description__c
EVT-202608241521-50302,ASSET-50302,ENG-105,Critical,2026-08-24T15:21:00Z,Resolved,2026-08-25T05:48:28Z,1985,92,2265,Engine oil pressure below safe threshold (<22 psi at full load)
EVT-202608231921-50205,ASSET-50205,COOL-220,Critical,2026-08-23T19:21:00Z,Open,,1756,119,2135,Coolant temperature elevated — sustained >118C for 6+ minutes
EVT-202608231221-50603,ASSET-50603,HYD-447,Critical,2026-08-23T12:21:00Z,Open,,2132,92,4308,Hydraulic pressure spike — main pump output beyond 4250 psi for 47s
EVT-202608230521-50102,ASSET-50102,LUB-016,Low,2026-08-23T05:21:00Z,Resolved,2026-08-23T08:29:17Z,1785,84,2114,Lubrication cycle skipped on bay 3 — operator notified
EVT-202608230121-50105,ASSET-50105,BRK-512,Medium,2026-08-23T01:21:00Z,Open,,1670,84,2183,Brake pad wear over 70% — replacement window approaching
EVT-202608212321-50302,ASSET-50302,TRA-308,High,2026-08-21T23:21:00Z,Resolved,2026-08-22T03:08:08Z,1864,95,1961,Transmission slip detected on shift 4-5 under load
EVT-202608210021-50105,ASSET-50105,FUEL-073,Medium,2026-08-21T00:21:00Z,Resolved,2026-08-21T06:14:15Z,1696,89,2104,Fuel system anomaly — injector flow variance >12%
EVT-202608201521-50202,ASSET-50202,TRA-308,High,2026-08-20T15:21:00Z,Resolved,2026-08-20T23:00:13Z,1968,92,2156,Transmission slip detected on shift 4-5 under load
EVT-202608192021-50801,ASSET-50801,ENG-105,Critical,2026-08-19T20:21:00Z,Resolved,2026-08-20T07:36:00Z,1889,94,2316,Engine oil pressure below safe threshold (<22 psi at full load)
EVT-202608191821-50401,ASSET-50401,TRA-308,High,2026-08-19T18:21:00Z,Resolved,2026-08-19T20:36:31Z,1771,93,2176,Transmission slip detected on shift 4-5 under load
EVT-202608191221-50205,ASSET-50205,FUEL-073,Medium,2026-08-19T12:21:00Z,Resolved,2026-08-19T19:08:56Z,1641,90,2148,Fuel system anomaly — injector flow variance >12%
EVT-202608190621-50503,ASSET-50503,FUEL-073,Medium,2026-08-19T06:21:00Z,Resolved,2026-08-19T10:41:01Z,1906,84,2237,Fuel system anomaly — injector flow variance >12%
EVT-202608190321-50501,ASSET-50501,ENG-105,Critical,2026-08-19T03:21:00Z,Open,,2006,100,2104,Engine oil pressure below safe threshold (<22 psi at full load)
EVT-202608181321-50301,ASSET-50301,TRA-308,High,2026-08-18T13:21:00Z,Open,,1638,95,2181,Transmission slip detected on shift 4-5 under load
EVT-202608171421-50702,ASSET-50702,FUEL-073,Medium,2026-08-17T14:21:00Z,Open,,1962,82,1984,Fuel system anomaly — injector flow variance >12%
EVT-202608161221-50402,ASSET-50402,AIR-204,Low,2026-08-16T12:21:00Z,Open,,1933,80,1947,Air filter restriction approaching service threshold
EVT-202608151221-50902,ASSET-50902,VIB-654,Critical,2026-08-15T12:21:00Z,Resolved,2026-08-15T19:56:02Z,1535,88,1989,Bearing vibration anomaly — ISO 10816 zone D exceeded for 8 minutes
EVT-202608142321-50106,ASSET-50106,TRA-308,High,2026-08-14T23:21:00Z,Resolved,2026-08-15T02:21:50Z,1984,91,2244,Transmission slip detected on shift 4-5 under load
EVT-202608132021-50203,ASSET-50203,LUB-016,Low,2026-08-13T20:21:00Z,Open,,1703,87,1913,Lubrication cycle skipped on bay 3 — operator notified
EVT-202608130621-50702,ASSET-50702,ELE-091,High,2026-08-13T06:21:00Z,Resolved,2026-08-13T08:24:04Z,1730,81,2094,Electrical short detected on auxiliary harness
EVT-202608121521-50203,ASSET-50203,FUEL-073,Medium,2026-08-12T15:21:00Z,Resolved,2026-08-12T22:23:35Z,1716,85,2176,Fuel system anomaly — injector flow variance >12%
EVT-202608060321-50201,ASSET-50201,HYD-447,Critical,2026-08-06T03:21:00Z,Open,,1947,91,4242,Hydraulic pressure spike — main pump output beyond 4250 psi for 47s
EVT-202608052221-50401,ASSET-50401,ENG-105,Critical,2026-08-05T22:21:00Z,Resolved,2026-08-06T12:21:55Z,2047,93,2317,Engine oil pressure below safe threshold (<22 psi at full load)
EVT-202608051721-51001,ASSET-51001,TRA-308,High,2026-08-05T17:21:00Z,Open,,1668,92,1959,Transmission slip detected on shift 4-5 under load
EVT-202608051021-50703,ASSET-50703,COOL-220,Critical,2026-08-05T10:21:00Z,Resolved,2026-08-05T22:57:51Z,1731,123,2053,Coolant temperature elevated — sustained >118C for 6+ minutes
EVT-202608050721-50803,ASSET-50803,TRA-308,High,2026-08-05T07:21:00Z,Resolved,2026-08-05T13:04:44Z,1883,90,1998,Transmission slip detected on shift 4-5 under load
EVT-202608050521-50401,ASSET-50401,TRA-308,High,2026-08-05T05:21:00Z,Resolved,2026-08-05T06:50:32Z,1892,97,2142,Transmission slip detected on shift 4-5 under load
EVT-202608050421-50203,ASSET-50203,FUEL-073,Medium,2026-08-05T04:21:00Z,Open,,1804,87,2286,Fuel system anomaly — injector flow variance >12%
EVT-202608040321-50101,ASSET-50101,COOL-220,Critical,2026-08-04T03:21:00Z,Open,,1896,123,2074,Coolant temperature elevated — sustained >118C for 6+ minutes
EVT-202608032121-50702,ASSET-50702,BRK-512,Medium,2026-08-03T21:21:00Z,Open,,1715,89,2054,Brake pad wear over 70% — replacement window approaching
EVT-202608031221-50303,ASSET-50303,FUEL-073,Medium,2026-08-03T12:21:00Z,Resolved,2026-08-03T14:06:30Z,1810,83,2298,Fuel system anomaly — injector flow variance >12%
EVT-202608020721-50704,ASSET-50704,AIR-204,Low,2026-08-02T07:21:00Z,Resolved,2026-08-02T08:41:20Z,1983,91,1976,Air filter restriction approaching service threshold
EVT-202608011021-50703,ASSET-50703,ELE-091,High,2026-08-01T10:21:00Z,Resolved,2026-08-01T18:13:54Z,1418,81,1995,Electrical short detected on auxiliary harness
EVT-202607311621-50702,ASSET-50702,LUB-016,Low,2026-07-31T16:21:00Z,Open,,1521,80,1990,Lubrication cycle skipped on bay 3 — operator notified
EVT-202607310321-50801,ASSET-50801,HYD-447,Critical,2026-07-31T03:21:00Z,Resolved,2026-07-31T20:34:50Z,2014,89,4210,Hydraulic pressure spike — main pump output beyond 4250 psi for 47s
EVT-202607300821-50503,ASSET-50503,ELE-091,High,2026-07-30T08:21:00Z,Resolved,2026-07-30T15:59:02Z,1731,79,1741,Electrical short detected on auxiliary harness
EVT-202607271721-50701,ASSET-50701,ELE-091,High,2026-07-27T17:21:00Z,Resolved,2026-07-27T19:16:35Z,1759,77,1916,Electrical short detected on auxiliary harness
EVT-202607271421-50502,ASSET-50502,VIB-654,Critical,2026-07-27T14:21:00Z,Resolved,2026-07-27T17:05:21Z,1743,94,2193,Bearing vibration anomaly — ISO 10816 zone D exceeded for 8 minutes
EVT-202607270721-50401,ASSET-50401,FUEL-073,Medium,2026-07-27T07:21:00Z,Resolved,2026-07-27T08:34:37Z,1720,87,2116,Fuel system anomaly — injector flow variance >12%
EVT-202607270121-50902,ASSET-50902,AIR-204,Low,2026-07-27T01:21:00Z,Open,,1749,83,2039,Air filter restriction approaching service threshold
EVT-202607262221-50304,ASSET-50304,ENG-105,Critical,2026-07-26T22:21:00Z,Resolved,2026-07-27T01:09:12Z,1913,93,2333,Engine oil pressure below safe threshold (<22 psi at full load)
EVT-202607261321-50601,ASSET-50601,TRA-308,High,2026-07-26T13:21:00Z,Resolved,2026-07-26T18:48:00Z,1804,93,2042,Transmission slip detected on shift 4-5 under load
EVT-202607252121-50704,ASSET-50704,LUB-016,Low,2026-07-25T21:21:00Z,Open,,1618,86,2128,Lubrication cycle skipped on bay 3 — operator notified
EVT-202607252021-50701,ASSET-50701,AIR-204,Low,2026-07-25T20:21:00Z,Resolved,2026-07-25T22:25:34Z,1902,89,2210,Air filter restriction approaching service threshold
EVT-202607250921-50902,ASSET-50902,HYD-447,Critical,2026-07-25T09:21:00Z,Resolved,2026-07-25T13:43:10Z,1965,88,4278,Hydraulic pressure spike — main pump output beyond 4250 psi for 47s
EVT-202607241521-50803,ASSET-50803,COOL-220,Critical,2026-07-24T15:21:00Z,Resolved,2026-07-24T18:26:14Z,1920,119,2106,Coolant temperature elevated — sustained >118C for 6+ minutes
EVT-202607222121-50702,ASSET-50702,FUEL-073,Medium,2026-07-22T21:21:00Z,Resolved,2026-07-23T02:45:03Z,1830,83,1931,Fuel system anomaly — injector flow variance >12%
EVT-202607210921-50602,ASSET-50602,HYD-447,Critical,2026-07-21T09:21:00Z,Resolved,2026-07-21T15:20:32Z,1952,93,4343,Hydraulic pressure spike — main pump output beyond 4250 psi for 47s
EVT-202607201721-50301,ASSET-50301,AIR-204,Low,2026-07-20T17:21:00Z,Open,,1652,90,2159,Air filter restriction approaching service threshold
